epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1411.18,1.64636,4.4446,1.08442,0.72732,0.09659,0.12519,0.09169,1.53047,3.93998,1.09736,2.2753e-05,2.2753e-05,2.2753e-05
97,1427.61,1.58111,4.36141,1.10538,0.72732,0.09659,0.12519,0.09169,1.53047,3.93998,1.09736,2.23504e-05,2.23504e-05,2.23504e-05
98,1443.78,1.62679,4.27849,1.11642,0.75585,0.0968,0.12454,0.09125,1.52865,3.94356,1.09676,2.19478e-05,2.19478e-05,2.19478e-05
99,1459.49,1.5941,4.30009,1.0994,0.75585,0.0968,0.12454,0.09125,1.52865,3.94356,1.09676,2.15452e-05,2.15452e-05,2.15452e-05
100,1474.91,1.63756,4.52698,1.09696,0.76391,0.097,0.12492,0.09209,1.52801,3.94151,1.09659,2.11426e-05,2.11426e-05,2.11426e-05
101,1489.74,1.58148,4.26702,1.12833,0.76391,0.097,0.12492,0.09209,1.52801,3.94151,1.09659,2.074e-05,2.074e-05,2.074e-05
102,1504.43,1.57895,4.28288,1.11089,0.76512,0.09671,0.12637,0.09308,1.52634,3.93961,1.09604,2.03374e-05,2.03374e-05,2.03374e-05
103,1519.17,1.61697,4.26057,1.09485,0.76512,0.09671,0.12637,0.09308,1.52634,3.93961,1.09604,1.99348e-05,1.99348e-05,1.99348e-05
104,1533.89,1.59983,4.43835,1.11698,0.76444,0.09592,0.1256,0.09185,1.52408,3.93823,1.09556,1.95322e-05,1.95322e-05,1.95322e-05
105,1548.43,1.59877,4.14123,1.12617,0.76444,0.09592,0.1256,0.09185,1.52408,3.93823,1.09556,1.91296e-05,1.91296e-05,1.91296e-05
106,1562.7,1.61674,4.23187,1.07284,0.75376,0.09829,0.12611,0.09236,1.52412,3.92391,1.09528,1.8727e-05,1.8727e-05,1.8727e-05
107,1579.17,1.59835,4.40222,1.06914,0.75376,0.09829,0.12611,0.09236,1.52412,3.92391,1.09528,1.83244e-05,1.83244e-05,1.83244e-05
108,1596.49,1.64696,4.17281,1.13384,0.7596,0.0942,0.12757,0.09384,1.52337,3.91084,1.09529,1.79218e-05,1.79218e-05,1.79218e-05
109,1614.75,1.60787,4.37241,1.11363,0.7596,0.0942,0.12757,0.09384,1.52337,3.91084,1.09529,1.75192e-05,1.75192e-05,1.75192e-05
110,1630.08,1.63055,4.47916,1.10559,0.76853,0.0948,0.12856,0.09457,1.5214,3.90603,1.09492,1.71166e-05,1.71166e-05,1.71166e-05
111,1655.98,1.67204,4.30195,1.11521,0.76853,0.0948,0.12856,0.09457,1.5214,3.90603,1.09492,1.6714e-05,1.6714e-05,1.6714e-05
112,1676.43,1.57555,4.12605,1.12115,0.76486,0.09459,0.12904,0.09512,1.52005,3.89912,1.09408,1.63114e-05,1.63114e-05,1.63114e-05
113,1696.91,1.60939,4.0499,1.14839,0.76486,0.09459,0.12904,0.09512,1.52005,3.89912,1.09408,1.59088e-05,1.59088e-05,1.59088e-05
114,1717.75,1.62607,4.08279,1.09442,0.75624,0.09752,0.12922,0.09528,1.51929,3.88411,1.09294,1.55062e-05,1.55062e-05,1.55062e-05
115,1737.55,1.59766,4.17116,1.10062,0.75624,0.09752,0.12922,0.09528,1.51929,3.88411,1.09294,1.51036e-05,1.51036e-05,1.51036e-05
116,1758.83,1.66268,4.20459,1.10302,0.75823,0.0986,0.12968,0.09578,1.51857,3.87831,1.09192,1.4701e-05,1.4701e-05,1.4701e-05
117,1779.24,1.65574,4.32259,1.08653,0.75823,0.0986,0.12968,0.09578,1.51857,3.87831,1.09192,1.42984e-05,1.42984e-05,1.42984e-05
