epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1537.73,1.82407,5.06729,1.19013,0.70428,0.03398,0.0365,0.02495,1.63689,4.90422,1.19026,4.42921e-05,4.42921e-05,4.42921e-05
85,1558.88,1.75801,5.21578,1.1876,0.70428,0.03398,0.0365,0.02495,1.63689,4.90422,1.19026,4.40908e-05,4.40908e-05,4.40908e-05
86,1581.65,1.67838,5.14588,1.16502,0.65497,0.04507,0.0369,0.02517,1.63771,4.85882,1.18833,4.38895e-05,4.38895e-05,4.38895e-05
87,1602.6,1.70269,5.12424,1.1736,0.65497,0.04507,0.0369,0.02517,1.63771,4.85882,1.18833,4.36882e-05,4.36882e-05,4.36882e-05
88,1623.29,1.76269,5.2032,1.20539,0.66223,0.04327,0.03868,0.02632,1.63775,4.82524,1.1884,4.34869e-05,4.34869e-05,4.34869e-05
89,1644.07,1.74036,5.09192,1.17107,0.66223,0.04327,0.03868,0.02632,1.63775,4.82524,1.1884,4.32856e-05,4.32856e-05,4.32856e-05
90,1665.23,1.69599,5.03495,1.16904,0.667,0.04481,0.04078,0.02825,1.63423,4.79104,1.18621,4.30843e-05,4.30843e-05,4.30843e-05
91,1684.63,1.78419,5.16708,1.1869,0.667,0.04481,0.04078,0.02825,1.63423,4.79104,1.18621,4.2883e-05,4.2883e-05,4.2883e-05
92,1704.51,1.64109,5.02896,1.15864,0.714,0.0449,0.04276,0.02981,1.63049,4.76822,1.18519,4.26817e-05,4.26817e-05,4.26817e-05
93,1724.19,1.71868,5.13167,1.17887,0.714,0.0449,0.04276,0.02981,1.63049,4.76822,1.18519,4.24804e-05,4.24804e-05,4.24804e-05
94,1744.8,1.72295,5.0159,1.19547,0.70295,0.04602,0.04104,0.02847,1.62765,4.74237,1.18283,4.22791e-05,4.22791e-05,4.22791e-05
95,1764.41,1.76458,4.96204,1.19854,0.70295,0.04602,0.04104,0.02847,1.62765,4.74237,1.18283,4.20778e-05,4.20778e-05,4.20778e-05
96,1785.46,1.74047,5.09114,1.15033,0.73583,0.03749,0.0415,0.02891,1.62146,4.71935,1.17922,4.18765e-05,4.18765e-05,4.18765e-05
97,1805.53,1.66865,5.05357,1.16392,0.73583,0.03749,0.0415,0.02891,1.62146,4.71935,1.17922,4.16752e-05,4.16752e-05,4.16752e-05
98,1825.89,1.70047,4.97254,1.17344,0.73488,0.03837,0.0473,0.03426,1.61626,4.70923,1.17822,4.14739e-05,4.14739e-05,4.14739e-05
99,1845.47,1.67333,4.96791,1.15842,0.73488,0.03837,0.0473,0.03426,1.61626,4.70923,1.17822,4.12726e-05,4.12726e-05,4.12726e-05
